CONFIG,TYPE,OWNER,NOTE,6580,6735,6735M,6753,6757,6735_64,6735M_64,6753_64,6755_64,6797_64,6757_64
CONFIG_EFI,PLATFORM,my.chuang,arm64 only,X,X,X,X,X,N,N,N,N,N,N
CONFIG_EMBEDDED,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_ENABLE_DEFAULT_TRACERS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_ETHERNET,COMMON,,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_EXT4_DEBUG,USER;PROJECT,perry.hsu,nand project,X,X,X,X,,X,X,X,X,X,
CONFIG_EXT4_FS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_EXT4_ENCRYPTION,PROJECT,perry.hsu,disable in 1aadaf04723883ec1a64643c2a0d083e3135aafa,X,X,X,X,X,X,X,X,O,X,X
CONFIG_EXT4_FS_SECURITY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_FAULT_INJECTION,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_FB,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_FB_MODE_HELPERS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_FB_TILEBLITTING,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_FRAME_WARN,COMMON,,,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
CONFIG_PAGE_OWNER,USER;PLATFORM,Lucas-sr.Wei,,X(PLATFORM),X(PLATFORM),X(PLATFORM),X(PLATFORM),X(USER),X(PLATFORM),X(PLATFORM),X(PLATFORM),X(PLATFORM),X(USER),X(USER)
CONFIG_FUSE_FS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_FW_LOADER_USER_HELPER_FALLBACK,PLATFORM,Morven-CF.Yeh,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_GATOR,COMMON,Ian-y.Chen,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_GT1151_CONFIG,PROJECT,zh.chen,,config4,config1,config2,config3,,config1,config2,config3,config8,O,
CONFIG_GT1151_FIRMWARE,PROJECT,zh.chen,,X,firmware1,firmware1,firmware1,,firmware1,firmware1,firmware1,,O,
CONFIG_GTP_AUTO_UPDATE,PROJECT,xing.fang,,X,y,y,y,,y,y,y,y,O,
CONFIG_GTP_CREATE_WR_NODE,PROJECT,xing.fang,,X,y,y,y,,y,y,y,y,O,
CONFIG_GTP_CUSTOM_CFG,PROJECT,xing.fang,,y,y,y,y,,y,y,y,y,O,
CONFIG_GTP_DRIVER_SEND_CFG,PROJECT,xing.fang,,X,y,y,y,,y,y,y,y,O,
CONFIG_GTP_HEADER_FW_UPDATE,PROJECT,xing.fang,,X,y,y,y,,y,y,y,y,O,
CONFIG_GTP_HOTKNOT,PROJECT,xing.fang,,X,y,y,y,,y,y,y,y,O,
CONFIG_GTP_POWER_CTRL_SLEEP,PROJECT,xing.fang,,O,y,y,O,,y,y,y,y,O,
CONFIG_HAVE_ARM_ARCH_TIMER,PLATFORM,,,y,y,y,y,y,X,X,X,X,X,X
CONFIG_HEADSET_SUPPORT_FIVE_POLE,PROJECT,zh.chen,new config in this commit d7e6a06694326785164e1d5412d5a9a8513648ad,X,X,X,X,,X,X,X,X,O,
CONFIG_HIBERNATION,PROJECT,Calvin.Hung,,y,y,y,y,,X,X,X,X,X,
CONFIG_HID_A4TECH,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_APPLE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_BELKIN,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_CHERRY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_CHICONY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_CYPRESS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_DRAGONRISE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_EZKEY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_GREENASIA,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_GYRATION,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_KENSINGTON,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_KYE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_LOGITECH,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_MAGICMOUSE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_MICROSOFT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_MONTEREY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_NTRIG,COMMON,Unused,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_HID_PANTHERLORD,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_PETALYNX,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_SAMSUNG,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_SMARTJOYPLUS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_SONY,COMMON,Unused,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_HID_SUNPLUS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_THRUSTMASTER,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_TOPSEED,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_TWINHAN,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_ZEROPLUS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HIDRAW,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HIGH_RES_TIMERS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HIGHMEM,PLATFORM,,,y,y,y,y,y,X,X,X,X,X,X
CONFIG_HMP_TRACER,PLATFORM,yt.chang,,X,X,X,X,y,X,X,X,y,y,y
CONFIG_HW_RANDOM,COMMON,,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_HWMON,COMMON,,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_I2C,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IFB,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IIO,PROJECT,gaia.chang,,X,X,X,X,,X,X,X,X,O,
CONFIG_IKCONFIG,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IKCONFIG_PROC,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INET,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INET_AH,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INET_DIAG_DESTROY,COMMON,changqing.sun,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INET_ESP,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INET_IPCOMP,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INET_LRO,COMMON,,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_INET6_AH,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INET6_ESP,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INET6_IPCOMP,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INET6_XFRM_MODE_ROUTEOPTIMIZATION,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INPUT_EVDEV,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INPUT_KEYCHORD,COMMON,Unused,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_INPUT_MISC,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INPUT_MOUSE,COMMON,Unused,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_INPUT_MOUSEDEV,COMMON,Unused,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_INPUT_MOUSEDEV_SCREEN_X,COMMON,Unused,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_INPUT_MOUSEDEV_SCREEN_Y,COMMON,Unused,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_INPUT_TOUCHSCREEN,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INPUT_UINPUT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_ION,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_ADVANCED_ROUTER,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_MROUTE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_MROUTE_MULTIPLE_TABLES,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_MULTICAST,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_MULTIPLE_TABLES,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_ARPTABLES,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_FILTER,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_IPTABLES,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_MANGLE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_NAT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_RAW,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_TARGET_MASQUERADE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_TARGET_NETMAP,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_TARGET_REDIRECT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_TARGET_REJECT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_PIMSM_V1,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_PIMSM_V2,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_PNP,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_PNP_BOOTP,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_PNP_DHCP,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP6_NF_FILTER,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP6_NF_IPTABLES,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP6_NF_MANGLE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP6_NF_MATCH_FRAG,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP6_NF_MATCH_IPV6HEADER,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP6_NF_MATCH_RPFILTER,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP6_NF_RAW,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP6_NF_TARGET_HL,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP6_NF_TARGET_REJECT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IPV6,PROJECT,hw.tung,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_IPV6_MIP6,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IPV6_MROUTE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IPV6_MULTIPLE_TABLES,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IPV6_OPTIMISTIC_DAD,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IPV6_PIMSM_V2,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IPV6_ROUTE_INFO,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IPV6_ROUTER_PREF,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IPV6_SIT_6RD,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IPV6_SUBTREES,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IPV6_TUNNEL,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_ISO9660_FS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_JOLIET,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_KEYS,PROJECT,pangyen.chen,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_KEYBOARD_ATKBD,COMMON,Unused,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_KEYBOARD_MTK,COMMON,Zh.Chen,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_KGDB,USER,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_KGDB_KDB,USER,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_KPD_PMIC_LPRST_TD,PROJECT,elvin.lin,,X,X,X,X,0,X,X,X,0,X,0
CONFIG_KPD_PWRKEY_USE_PMIC,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_LCM_HEIGHT,PROJECT,xiaobin.wei,,O,O,O,X,,1280,960,X,O,O,
CONFIG_LCM_WIDTH,PROJECT,xiaobin.wei,,O,O,O,X,,720,540,X,O,O,
CONFIG_LEDS_CLASS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_LEDS_TRIGGER_TIMER,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_LEDS_TRIGGERS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_LEGACY_PTY_COUNT,COMMON,,,16,16,16,16,16,16,16,16,16,16,16
CONFIG_LIBCRC32C,COMMON,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_LIGHTNESS_MAPPING_VALUE,PROJECT,xuexi.bai,custom setting with default,X,O,X,X,,O,X,O,X,X,
CONFIG_LOCALVERSION_AUTO,COMMON,,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_LOG_BUF_SHIFT,PROJECT,,,O,O,X,X,,X,X,X,X,X,
CONFIG_LOG_TOO_MUCH_DETECT_COUNT,USER;PROJECT,Yuxian.Xu,new config in this commit 6de386d4ce6ebe8d82c8fef64cc04a57503cded9,X,X,X,X,O,X,X,X,O,O,O
CONFIG_LOG_TOO_MUCH_WARNING,USER;PROJECT,Yuxian.Xu,,X,X,X,X,O,X,X,X,O,O,O
CONFIG_LOGO,PROJECT,,,O,O,O,y,,y,y,y,O,y,
CONFIG_LZ4K,PROJECT,linger.lee,,O,X,X,X,,X,X,X,X,X,
CONFIG_MAGIC_SYSRQ,USER,,this is COMMON config eng is selected by KGDB,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MD,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MD_LINEAR,PROJECT,pangyen.chen,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MEDIATEK_SOLUTION,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MFD_SYSCON,PLATFORM,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MICROTRUST_TEE_SUPPORT,PROJECT,Coboy.Chen,,X,X,X,X,,X,X,X,O,O,
CONFIG_MMC,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MMC_BLOCK_MINORS,COMMON,,,32,32,32,32,32,32,32,32,32,32,32
CONFIG_MMC_MTK,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MMPROFILE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MOBICORE_API,PROJECT,hungwen.chien,,O,O,O,X,,O,O,X,O,O,
CONFIG_MOBICORE_DEBUG,COMMON,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MOBICORE_DRIVER,PROJECT,hungwen.chien,,O,O,O,X,,O,O,X,O,O,
CONFIG_MOBICORE_VERBOSE,COMMON,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MODULES,PROJECT,hw.tung,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MOUSE_PS2,COMMON,Unused,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MSDOS_FS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MT_CPU_AFFINITY,COMMON,May.Huang,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MT_ENG_BUILD,USER,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_DTBO_FEATURE,PROJECT,chia-hao.hsu,,,,,,,,,,,,
CONFIG_MT_LOAD_BALANCE_ENHANCEMENT,COMMON,YT.Chang,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MT_RT_THROTTLE_MON,USER,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MT_SCHED_INTEROP,COMMON,YT.Chang,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MT_SCHED_MON_DEFAULT_ENABLE,PROJECT,May.Huang,new config af2e2e13088253076dd2e39493509b552944b9f3,X,X,X,X,X,X,X,O,X,X,X
CONFIG_MT_SCHED_MONITOR,USER;PROJECT,may.huang,,X(USER),X(USER),X(USER),X(USER),X(USER),X(USER),X(USER),O(USER;PROJECT),X(USER),X(USER),X(USER)
CONFIG_MT_SCHED_TRACE,USER,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MT_SND_SOC_6570,PLATFORM,shane.chien,new config in this commit I5e6bc52281c81e566779aadb4af95db787037c38,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MT_SND_SOC_6580,PLATFORM,,,y,X,X,X,X,X,X,X,X,X,X
CONFIG_MT_SND_SOC_6750,PROJECT,georgecy.lin,new config daa86d3ef2d877b75d5de580cc78971c5e2fce55,X,X,X,X,X,X,X,X,O,X,X
CONFIG_MT_SND_SOC_6755,PROJECT,georgecy.lin,new config in this commit fab6167f1064bb4535e66a9338d5c9070adf8c00,X,X,X,X,X,X,X,X,y,X,X
CONFIG_MT_SND_SOC_6797,PLATFORM,kaichieh.chuang,new config in this commit 1074dfde83f3f625a010d4be43fdc68cd2518b33,X,X,X,X,X,X,X,X,X,y,X
CONFIG_MT_SND_SOC_CODEC,PROJECT,Chien-Wei.hsu,new config in this commit Id1263ee35209bb47f72e3e37cc57fa82d52c036f,X,X,X,X,,X,X,X,mt6351,mt6351,
CONFIG_MT_SND_SOC_V3,PLATFORM,georgecy.lin,,X,y,y,y,X,y,y,y,X,X,X
CONFIG_MT_TRUSTONIC_TEE_DEBUGFS,USER;PROJECT,hungwen.chien,,X,X,X,X,,X,X,X,X,X,
CONFIG_MT_TRUSTY_DEBUGFS,USER;PROJECT,coboy.chen,,X,X,X,X,,X,X,X,X,X,
CONFIG_MTD,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTD_BLOCK,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTD_NAND,PROJECT,Chienwei.Chang,,O,X,X,X,,X,X,X,X,X,
CONFIG_MTD_NAND_IDS,PROJECT,Chienwei.Chang,,O,y,y,y,,y,y,y,y,y,
CONFIG_MTD_NAND_PLATFORM,PROJECT,Chienwei.Chang,,O,X,X,X,,X,X,X,X,X,
CONFIG_MTD_OF_PARTS,PLATFORM,Chienwei.Chang,,N,N,N,N,X,X,X,X,X,X,X
CONFIG_MTD_UBI,PROJECT,linger.lee,,O,X,X,X,,X,X,X,X,X,
CONFIG_MTD_UBI_BEB_LIMIT,PROJECT,linger.lee,,O,X,X,X,,X,X,X,X,X,
CONFIG_MTD_UBI_GLUEBI,PROJECT,linger.lee,,O,X,X,X,,X,X,X,X,X,
CONFIG_MTD_UBI_WL_THRESHOLD,PROJECT,linger.lee,,O,X,X,X,,X,X,X,X,X,
CONFIG_MTK_AAL_SUPPORT,PROJECT,yiruei.wu,,O,X,O,X,,O,O,X,O,O,
CONFIG_MTK_ACCDET,COMMON,darren.liao,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_ACCELHUB,PROJECT,weiqi.fu,new config in this commit ddc5d59450d236e7d3732ebd43a19c5056787cc0,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_ACTIVITYHUB,PROJECT,hongxu.zhao,new config in this commit c432a63a513fc50d10e28c1c65b6bba2903ac29c,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_AEE_FEATURE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_AEE_MRDUMP,USER;PLATFORM,my.chunag,mt6755 memory reserved mode ready,X(PLATFORM),X(PLATFORM),X(PLATFORM),X(PLATFORM),X(USER),X(PLATFORM),X(PLATFORM),X(PLATFORM),X(USER),X(USER),X(USER)
CONFIG_MTK_AKM8963_NEW,PROJECT,Lomen.Wu,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_AKM09911_NEW,PLATFORM,jy.lan,,y,y,y,y,,y,y,y,X,X,
CONFIG_MTK_AKM09912,PROJECT,hongxu.zhao,new config in this commit 063ebd2dfda85d1c6ea1c0120c87fa93fc2570e8,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_ALSPSHUB,PROJECT,weiqi.fu,new config in this commit ddc5d59450d236e7d3732ebd43a19c5056787cc0,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_ANSWER_CALL_HUB,PROJECT,qiangming.xia,new config in this commit 187fb88cfe9b07a6e086117d157e5a75b76f244f,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_BAROHUB,PROJECT,weiqi.fu,new config in this commit ddc5d59450d236e7d3732ebd43a19c5056787cc0,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_BIF_SUPPORT,PROJECT,elvin.lin,,X,X,X,X,,X,X,X,y,X,
CONFIG_MTK_BMP280,PROJECT,lomen.wu,new config in this commit 4486d5ee565d38da91ef65fd3918a57aaa5263f2,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_BMP280_NEW,PLATFORM,lomen.wu,,X,X,X,X,,X,X,X,y,X,
CONFIG_MTK_BQ25896_SUPPORT,PROJECT,elvin.lin,,X,X,X,X,,X,X,X,y,,
CONFIG_MTK_BQ25898_DUAL_SUPPORT,PROJECT,stanley.song,new config in this commit b6db89c2627e63144eb53dbb76f8c9aaa73950ea,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_BTCVSD,PROJECT,kaichieh.chuang,,O,y,O,y,X,y,O,O,X,X,X
CONFIG_MTK_BTCVSD_ALSA,PLATFORM,kaichieh.chuang,,X,X,X,X,y,X,X,X,y,y,y
CONFIG_MTK_BTIF,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_C2K_LTE_MODE,PROJECT,yanbin.ren,,X,2,X,2,,2,2,2,2,2,
CONFIG_MTK_C2K_SLOT2_SUPPORT,PROJECT,anny.hu,,X,X,X,X,,O,X,X,O,O,
